,mean radius,mean texture,mean smoothness,mean compactness,mean symmetry,mean fractal dimension,texture error,smoothness error,symmetry error,worst symmetry
47,10.08,15.11,0.09267,0.04695,0.1703,0.06048,1.268,0.01439,0.02538,0.2933
48,11.6,18.36,0.08508,0.05855,0.1516,0.05859,0.7656,0.006709,0.02124,0.321
49,12.1,17.72,0.1029,0.09758,0.1937,0.06161,1.652,0.008146,0.02015,0.3049
50,9.667,18.49,0.08946,0.06258,0.2238,0.06413,1.35,0.007501,0.0196,0.3174
51,20.26,23.03,0.09078,0.1313,0.2095,0.05649,1.509,0.006016,0.02657,0.3689
52,12.54,18.07,0.07436,0.0265,0.1528,0.05185,0.9527,0.005783,0.02043,0.2233
53,24.25,20.2,0.1447,0.2867,0.2655,0.06877,3.12,0.02333,0.04547,0.3222
54,8.597,18.6,0.1074,0.05847,0.2163,0.07359,2.777,0.02075,0.06146,0.3142
55,12.42,15.04,0.07926,0.03393,0.1546,0.05754,0.6745,0.003265,0.0172,0.2901
56,21.16,23.04,0.09428,0.1022,0.1769,0.05278,1.127,0.004728,0.01083,0.2822
57,23.27,22.04,0.08439,0.1145,0.1801,0.05553,0.8561,0.00491,0.01956,0.3589
58,15.85,23.95,0.08401,0.1002,0.1847,0.05338,1.078,0.009769,0.02981,0.2809
59,14.9,22.53,0.09947,0.2225,0.2041,0.06898,0.8749,0.006965,0.01499,0.2866
60,8.598,20.98,0.1243,0.08963,0.1828,0.06757,2.067,0.01193,0.03357,0.2972
61,10.8,21.98,0.08801,0.05743,0.2016,0.05977,1.621,0.006543,0.01844,0.2965
62,21.71,17.25,0.09384,0.08562,0.1717,0.05054,1.051,0.005568,0.01263,0.251
63,14.47,24.99,0.08837,0.123,0.1872,0.06341,1.079,0.007138,0.02068,0.3187
64,13.48,20.82,0.1016,0.1255,0.172,0.06419,0.5914,0.005367,0.01377,0.2807
65,17.75,28.03,0.09997,0.1314,0.1713,0.05916,1.077,0.004714,0.01237,0.2972
66,18.94,21.31,0.09009,0.1029,0.1582,0.05461,0.7975,0.004444,0.01386,0.2551
67,15.04,16.74,0.09883,0.1364,0.1668,0.06869,0.8423,0.004123,0.01055,0.2177
68,13.96,17.05,0.1096,0.1279,0.1908,0.0613,0.8098,0.006351,0.02062,0.3068
69,11.6,12.84,0.08983,0.07525,0.162,0.06582,0.5391,0.006153,0.01651,0.2772
70,13.59,21.84,0.07956,0.08259,0.1635,0.05859,1.916,0.005436,0.0203,0.2446
71,9.847,15.68,0.09492,0.08419,0.1387,0.06891,1.216,0.008732,0.01824,0.2502
72,12.87,19.54,0.09136,0.07883,0.1861,0.06347,0.7693,0.00591,0.02223,0.3313
73,9.668,18.1,0.08311,0.05428,0.168,0.06412,1.312,0.01098,0.02693,0.3057
74,15.75,19.22,0.1243,0.2364,0.2375,0.07603,1.324,0.009329,0.05543,0.4245
75,13.94,13.17,0.1248,0.09755,0.1976,0.06457,2.635,0.01004,0.01715,0.216
76,13.27,17.02,0.08445,0.04994,0.1496,0.05674,0.8907,0.006032,0.01482,0.2506
77,20.34,21.51,0.117,0.1875,0.2569,0.0667,1.023,0.005485,0.02768,0.5558
78,19.0,18.91,0.08217,0.08028,0.1946,0.05044,1.342,0.004428,0.0203,0.2841
79,25.22,24.91,0.1063,0.2665,0.1829,0.06782,1.474,0.008166,0.01065,0.2355
80,20.57,17.77,0.08474,0.07864,0.1812,0.05667,0.7339,0.005225,0.01389,0.275
81,13.17,18.22,0.07466,0.05994,0.1454,0.05549,0.685,0.005969,0.01093,0.2235
82,18.61,20.25,0.0944,0.1066,0.1697,0.05699,1.849,0.01075,0.02293,0.2341
83,14.64,15.24,0.1132,0.1339,0.2116,0.06346,0.7372,0.005508,0.02427,0.3151
84,13.47,14.06,0.1071,0.1155,0.1779,0.06639,0.5733,0.00445,0.01698,0.3227
85,13.8,15.79,0.1007,0.128,0.1662,0.06566,0.6205,0.004717,0.0122,0.2589
86,13.51,18.89,0.1059,0.1147,0.1806,0.06079,1.332,0.005442,0.01315,0.2666
87,13.43,19.63,0.09048,0.06288,0.1598,0.05671,1.147,0.006003,0.0152,0.2884
88,12.76,13.37,0.08794,0.07948,0.1601,0.0614,0.6594,0.006494,0.01731,0.2564
89,13.4,16.95,0.07937,0.05696,0.165,0.05701,0.6124,0.004394,0.01291,0.2741
90,11.13,16.62,0.08151,0.03834,0.1511,0.06148,0.9671,0.005883,0.02009,0.2383
91,15.37,22.76,0.092,0.1036,0.1717,0.06097,0.8413,0.009882,0.02471,0.2556
92,13.9,19.24,0.07991,0.05326,0.1579,0.05594,0.9264,0.003704,0.01062,0.2356
93,13.85,17.21,0.08785,0.06136,0.1614,0.0589,0.8561,0.004599,0.01247,0.2364
94,12.77,29.43,0.08276,0.04234,0.1539,0.05637,1.367,0.008835,0.01897,0.2407
95,19.17,24.8,0.0974,0.2458,0.2397,0.078,3.568,0.003139,0.04484,0.3176
96,12.05,22.72,0.06935,0.1073,0.1203,0.06659,1.434,0.005042,0.0247,0.2191
97,7.76,24.54,0.05263,0.04362,0.1587,0.05884,1.428,0.007189,0.02676,0.2871
98,9.606,16.84,0.08481,0.09228,0.2036,0.07125,0.9429,0.005954,0.0175,0.2982
99,14.22,27.85,0.08223,0.1039,0.1342,0.06129,2.324,0.006307,0.01185,0.189
100,15.5,21.08,0.112,0.1571,0.2085,0.06864,1.213,0.008198,0.02018,0.3003
101,13.66,19.13,0.09057,0.1147,0.1848,0.06181,0.895,0.00398,0.01581,0.2744
102,9.268,12.87,0.1634,0.2239,0.2378,0.09502,1.093,0.009783,0.02542,0.3038
103,19.53,18.9,0.115,0.1642,0.1792,0.06552,1.161,0.006056,0.01884,0.2968
104,13.73,22.61,0.1131,0.2293,0.2069,0.07682,1.169,0.006429,0.01961,0.3596
105,14.27,22.55,0.1038,0.1154,0.1926,0.05982,1.851,0.006113,0.01451,0.2698
106,10.48,14.98,0.09816,0.1013,0.1925,0.06915,1.127,0.007364,0.02161,0.302
107,13.11,22.54,0.1002,0.1483,0.185,0.0731,0.9223,0.005251,0.02514,0.4128
108,15.46,19.48,0.1092,0.1223,0.1931,0.05796,0.7859,0.00624,0.01397,0.2837
109,10.66,15.15,0.08792,0.04302,0.1928,0.05975,1.925,0.008713,0.03265,0.271
110,11.27,15.5,0.08365,0.1114,0.181,0.07252,1.067,0.01038,0.01219,0.2157
111,12.77,21.41,0.08749,0.06601,0.1694,0.06287,1.748,0.004571,0.03373,0.2179
112,14.29,16.82,0.06429,0.02675,0.1508,0.05376,0.7198,0.003492,0.01536,0.2458
113,14.5,10.89,0.1101,0.1099,0.1856,0.06402,0.857,0.003818,0.0191,0.2889
114,14.95,17.57,0.1167,0.1305,0.1957,0.06216,1.452,0.01,0.05168,0.3414
115,13.64,16.34,0.07685,0.06059,0.1353,0.05953,0.9234,0.004477,0.01325,0.2346
116,14.04,15.98,0.08458,0.05895,0.1714,0.05898,1.046,0.007976,0.02005,0.2725
117,14.26,19.65,0.07837,0.2233,0.1704,0.07769,1.49,0.005298,0.02566,0.2398
118,20.73,31.12,0.09469,0.1143,0.1769,0.05674,1.617,0.004551,0.01367,0.2868
119,7.729,25.49,0.08098,0.04878,0.187,0.07285,1.462,0.01266,0.02882,0.3058
120,21.75,20.99,0.09401,0.1961,0.1721,0.06194,1.352,0.005687,0.01924,0.2833
121,19.55,28.77,0.0926,0.2063,0.1893,0.06232,1.199,0.006356,0.01936,0.2818
122,18.82,21.97,0.1018,0.1389,0.1943,0.06132,1.931,0.008074,0.02383,0.3007
123,13.11,15.56,0.1398,0.1765,0.1925,0.07692,0.9238,0.007162,0.01547,0.3147
124,14.05,27.15,0.09929,0.1126,0.1537,0.06171,1.492,0.007256,0.0208,0.225
125,24.63,21.6,0.103,0.2106,0.1991,0.06739,0.9004,0.004989,0.01879,0.3157
126,17.08,27.15,0.09898,0.111,0.1793,0.06281,1.152,0.00874,0.02045,0.301
127,17.05,19.08,0.1141,0.1572,0.2131,0.06325,0.679,0.005532,0.01177,0.3109
128,11.15,13.08,0.09754,0.05113,0.183,0.06105,0.7815,0.009019,0.02388,0.2859
129,11.06,17.12,0.1194,0.1071,0.1954,0.07976,1.03,0.01262,0.0222,0.278
130,18.49,17.52,0.1012,0.1317,0.1832,0.06697,1.045,0.007974,0.01617,0.251
131,12.72,13.78,0.09667,0.08393,0.1638,0.061,0.6931,0.006064,0.01374,0.2369
132,13.0,20.78,0.1135,0.07589,0.254,0.06087,1.322,0.007017,0.02951,0.3196
133,16.5,18.29,0.09686,0.08468,0.1495,0.05593,1.439,0.007257,0.01694,0.2394
134,12.34,22.22,0.1012,0.1015,0.1551,0.06761,1.656,0.01134,0.01879,0.2268
135,16.78,18.8,0.08865,0.09182,0.1893,0.05534,1.391,0.006123,0.02091,0.281
136,20.2,26.83,0.09905,0.1669,0.1875,0.0602,1.892,0.008439,0.0371,0.3271
137,9.876,17.27,0.1089,0.07232,0.1934,0.06285,1.342,0.009719,0.0221,0.2989
138,11.81,17.39,0.1007,0.05562,0.1718,0.0578,1.926,0.007831,0.03139,0.32
139,11.9,14.65,0.1152,0.1296,0.1995,0.07839,0.6538,0.01017,0.03127,0.2727
140,23.51,24.27,0.1069,0.1283,0.1797,0.05506,0.9245,0.006292,0.01479,0.2593
141,10.44,15.46,0.1053,0.07722,0.1788,0.0645,0.9027,0.006513,0.01502,0.2615
142,12.46,12.83,0.07372,0.04043,0.1613,0.06013,1.486,0.01039,0.02869,0.228
143,12.72,17.67,0.07896,0.04522,0.1459,0.05544,0.8836,0.007337,0.0194,0.2165
144,21.1,20.52,0.09684,0.1175,0.1554,0.05661,1.361,0.005467,0.01029,0.2268
145,14.26,18.17,0.06576,0.0522,0.1635,0.05586,0.669,0.003169,0.01103,0.2636
146,12.54,16.32,0.1158,0.1085,0.1943,0.06612,1.095,0.009702,0.02801,0.3155
147,20.64,17.35,0.09446,0.1076,0.1571,0.05478,0.6575,0.006211,0.01276,0.2689
148,11.95,14.96,0.1158,0.1206,0.2459,0.06581,1.05,0.0058,0.02734,0.3124
149,16.14,14.86,0.09495,0.08501,0.1735,0.05875,0.6372,0.003958,0.015,0.2778
150,8.671,14.45,0.09138,0.04276,0.1722,0.06724,0.7873,0.009172,0.02711,0.2592
151,11.74,14.69,0.08099,0.09661,0.1499,0.06758,0.6417,0.006982,0.0226,0.2604
152,18.03,16.85,0.08947,0.1232,0.172,0.0578,0.5906,0.004117,0.01295,0.2842
153,12.83,22.33,0.1088,0.1799,0.2123,0.07254,1.069,0.006983,0.0168,0.3407
154,10.26,14.71,0.09882,0.09159,0.1633,0.07005,2.509,0.01736,0.03675,0.2434
155,19.16,26.6,0.102,0.1453,0.1902,0.0622,1.001,0.007392,0.01435,0.3258
156,20.44,21.78,0.0915,0.1131,0.1618,0.05557,0.9168,0.006208,0.01445,0.2609
157,12.62,23.97,0.07903,0.07529,0.1514,0.06019,1.066,0.005169,0.01365,0.2826
158,13.61,24.98,0.09488,0.08511,0.1609,0.05871,1.29,0.005872,0.01465,0.2651
159,14.41,19.73,0.08757,0.1676,0.1714,0.07192,1.77,0.007762,0.04077,0.2272
160,20.59,21.24,0.1085,0.1644,0.1848,0.06222,1.216,0.006666,0.01117,0.248
161,18.22,18.7,0.1148,0.1485,0.2092,0.0631,1.593,0.003899,0.02674,0.3021
162,15.0,15.51,0.08371,0.1096,0.1881,0.05907,0.4966,0.004119,0.01391,0.2954
163,10.82,24.21,0.08192,0.06602,0.1976,0.06328,1.918,0.008263,0.02466,0.3059
164,20.6,29.33,0.1178,0.277,0.2397,0.07016,1.595,0.006522,0.02324,0.4087
165,13.15,15.34,0.09384,0.08498,0.1822,0.06207,0.7927,0.008584,0.02769,0.3849
166,11.5,18.45,0.09345,0.05991,0.1834,0.05934,0.8429,0.00638,0.02292,0.274
167,11.89,17.36,0.1225,0.0721,0.2015,0.05875,2.293,0.01418,0.02678,0.222
168,12.06,12.74,0.09311,0.05241,0.159,0.05907,0.7285,0.005528,0.01465,0.2514
169,11.29,13.04,0.09834,0.07608,0.1769,0.0627,0.5293,0.006472,0.01692,0.2733
170,13.17,21.81,0.09714,0.1047,0.1746,0.06177,0.6123,0.00335,0.01113,0.3693
171,11.51,23.93,0.09261,0.1021,0.1388,0.0657,2.904,0.0082,0.01488,0.2112
172,10.51,20.19,0.1122,0.1303,0.1922,0.07782,1.86,0.01188,0.02287,0.2383
173,14.06,17.18,0.08045,0.05361,0.1641,0.05764,1.685,0.005371,0.01719,0.2523
174,11.84,18.94,0.08871,0.069,0.1533,0.06057,0.8652,0.005517,0.01616,0.2535
175,22.27,19.67,0.1326,0.2768,0.2556,0.07039,1.545,0.006515,0.03112,0.4055
176,10.25,16.18,0.1061,0.1111,0.1743,0.07279,1.471,0.01049,0.02719,0.2608
177,14.97,16.95,0.09855,0.07885,0.178,0.0565,1.217,0.00508,0.0135,0.2404
178,12.86,18.0,0.09934,0.09546,0.1718,0.05997,1.095,0.005293,0.01748,0.2779
179,11.76,21.6,0.08637,0.04966,0.1495,0.05888,1.21,0.005857,0.02406,0.2433
180,12.0,15.65,0.09723,0.07165,0.2079,0.05968,1.255,0.005969,0.01972,0.3379
181,13.0,21.82,0.1273,0.1932,0.235,0.07389,1.002,0.005731,0.02143,0.4378
182,17.02,23.98,0.1197,0.1496,0.2248,0.06382,1.398,0.008268,0.02102,0.353
183,14.42,19.77,0.09752,0.1141,0.1879,0.0639,1.851,0.008005,0.01462,0.2718
184,11.34,21.26,0.08759,0.06575,0.1487,0.06529,0.9861,0.009113,0.01568,0.2829
185,15.46,23.95,0.1183,0.187,0.1807,0.07083,1.961,0.009538,0.02105,0.3013
186,16.03,15.51,0.09491,0.1371,0.1782,0.05976,0.7476,0.005839,0.01467,0.3019
187,10.18,17.53,0.1061,0.08502,0.191,0.06908,1.217,0.007899,0.02637,0.3055
188,15.3,25.27,0.1082,0.1697,0.1926,0.0654,1.012,0.005233,0.01768,0.4027
189,12.89,13.12,0.06955,0.03729,0.1337,0.05581,0.469,0.004731,0.01619,0.2309
190,9.755,28.2,0.07984,0.04626,0.1621,0.05952,1.687,0.006588,0.01574,0.2321
191,11.52,18.75,0.09524,0.05473,0.192,0.05907,0.9591,0.008328,0.03218,0.3306
192,17.68,20.74,0.1115,0.1665,0.1971,0.06166,1.4,0.009037,0.01778,0.2463
193,12.45,16.41,0.09514,0.1511,0.2082,0.07325,1.207,0.007234,0.03232,0.3231
194,20.92,25.09,0.1099,0.2236,0.2149,0.06879,1.026,0.006399,0.02057,0.2929
195,11.7,19.11,0.08814,0.05253,0.1936,0.06128,1.43,0.006064,0.02349,0.3487
196,12.05,14.63,0.1031,0.09092,0.1675,0.06043,0.7294,0.005488,0.01428,0.2747
197,14.81,14.7,0.08472,0.05016,0.1659,0.05348,0.6232,0.006708,0.0158,0.2334
198,13.85,19.6,0.08684,0.0633,0.1555,0.05673,1.678,0.005836,0.02014,0.2513
199,19.27,26.47,0.09401,0.1719,0.1853,0.06261,0.6062,0.005015,0.01543,0.3672
200,16.74,21.59,0.0961,0.1336,0.1896,0.05656,0.9197,0.005776,0.02789,0.4863
201,12.98,19.35,0.09579,0.1125,0.1761,0.0654,0.5664,0.005727,0.02751,0.3596
202,9.173,13.86,0.07721,0.08751,0.2341,0.06963,2.265,0.008738,0.04192,0.3282
203,14.87,20.21,0.09587,0.08345,0.1487,0.05748,1.636,0.005415,0.01959,0.2369
204,12.86,13.32,0.1134,0.08834,0.1543,0.06476,1.042,0.00591,0.01202,0.2382
205,21.37,15.1,0.1001,0.1515,0.1973,0.06183,1.309,0.004426,0.01675,0.273
206,13.68,16.33,0.09277,0.07255,0.1631,0.06155,0.4801,0.003828,0.01054,0.2806
207,9.567,15.91,0.08464,0.04087,0.1551,0.06403,0.8301,0.01164,0.02383,0.2757
208,20.13,28.25,0.0978,0.1034,0.1752,0.05533,2.463,0.005769,0.01898,0.2572
209,19.68,21.68,0.09797,0.1339,0.2082,0.05715,2.284,0.004756,0.03756,0.4045
210,18.65,17.6,0.1099,0.1686,0.1907,0.06049,0.6633,0.006294,0.02428,0.3799
211,10.49,18.61,0.1068,0.06678,0.1482,0.066,1.563,0.008875,0.01791,0.2213
212,16.69,20.2,0.07497,0.07112,0.1846,0.05325,0.5679,0.002667,0.01961,0.4677
213,16.46,20.11,0.09831,0.1556,0.1794,0.06323,1.284,0.006627,0.01682,0.3054
214,19.53,32.47,0.0842,0.113,0.1428,0.05313,1.321,0.005539,0.01332,0.2713
215,12.27,29.97,0.07699,0.03398,0.1701,0.0596,3.647,0.007339,0.03141,0.2409
216,10.91,12.35,0.08518,0.04721,0.1449,0.06031,1.027,0.003478,0.02941,0.2143
217,9.504,12.44,0.1024,0.06492,0.1815,0.06905,0.9768,0.009606,0.02027,0.245
218,10.65,25.22,0.09657,0.07234,0.1897,0.06329,1.493,0.007189,0.02158,0.3409
219,9.423,27.88,0.08123,0.04971,0.1742,0.06059,2.927,0.01159,0.03004,0.2475
220,12.67,17.3,0.1028,0.07664,0.1707,0.05984,0.9505,0.006809,0.02057,0.2688
221,13.05,13.84,0.08352,0.03735,0.1453,0.05518,0.8285,0.004148,0.01422,0.2107
222,14.45,20.22,0.09872,0.1206,0.195,0.06466,0.6509,0.004044,0.01522,0.4753
223,11.43,15.39,0.09639,0.06889,0.1734,0.05865,0.9938,0.005133,0.01501,0.2676
224,16.65,21.38,0.1121,0.1457,0.1995,0.0633,0.9017,0.006048,0.01468,0.3613
225,15.28,22.41,0.09057,0.1052,0.1727,0.06317,0.4956,0.00329,0.01172,0.3175
226,15.12,16.68,0.08876,0.09588,0.1594,0.05986,0.3621,0.005472,0.01523,0.3415
227,18.45,21.91,0.0943,0.09709,0.1692,0.05727,1.202,0.006001,0.01492,0.3109
228,10.51,23.09,0.1015,0.06797,0.1695,0.06556,1.143,0.01017,0.03464,0.2227
229,8.95,15.76,0.09462,0.1243,0.1305,0.07163,0.9789,0.01835,0.02384,0.1652
230,28.11,18.47,0.1142,0.1516,0.1648,0.05525,1.476,0.01345,0.04783,0.1648
231,9.683,19.34,0.08491,0.0503,0.158,0.06235,1.363,0.00744,0.02203,0.2552
232,9.333,21.94,0.0924,0.05605,0.1692,0.06576,1.879,0.01094,0.03759,0.2435
233,11.26,19.83,0.08511,0.04413,0.1637,0.06343,1.083,0.0042,0.01487,0.2557
234,9.397,21.68,0.07969,0.06053,0.1274,0.06724,1.182,0.005515,0.01951,0.2376
235,11.32,27.08,0.06883,0.03813,0.1869,0.05628,0.8927,0.003653,0.01537,0.2849
236,10.94,18.59,0.1004,0.0746,0.1486,0.06615,1.743,0.009519,0.02079,0.2251
237,10.2,17.48,0.08054,0.05907,0.1964,0.06315,1.922,0.00468,0.0256,0.2868
238,19.21,18.57,0.1053,0.1267,0.1917,0.05961,1.193,0.006458,0.01852,0.3537
239,18.22,18.87,0.09746,0.1117,0.1807,0.05664,0.5503,0.004821,0.01275,0.2812
240,17.85,13.23,0.07838,0.06217,0.122,0.05243,1.046,0.004369,0.01302,0.1783
241,13.0,25.13,0.08369,0.05073,0.1667,0.05449,1.232,0.006054,0.01215,0.2306
242,11.69,24.44,0.1236,0.1552,0.2131,0.07405,1.978,0.01288,0.0156,0.2803
243,14.42,16.54,0.09751,0.1139,0.1912,0.06412,0.7706,0.004577,0.01873,0.3053
244,21.09,26.57,0.1141,0.2832,0.2395,0.07398,0.7629,0.004253,0.01798,0.4098
245,9.787,19.94,0.1024,0.05301,0.135,0.0689,2.043,0.01113,0.01801,0.1934
246,8.726,15.83,0.115,0.08201,0.1649,0.07633,0.5864,0.008261,0.01708,0.2926
247,12.8,17.46,0.08044,0.08895,0.1574,0.0575,1.265,0.005421,0.01869,0.1988
248,13.59,17.84,0.07948,0.04052,0.1573,0.0552,1.166,0.003741,0.01344,0.2335
249,15.78,22.91,0.1155,0.1752,0.2096,0.07331,1.072,0.008699,0.01495,0.3274
250,10.16,19.59,0.1003,0.07504,0.1791,0.06331,2.09,0.01291,0.02572,0.2262
251,12.32,12.39,0.1028,0.06981,0.1959,0.05955,0.6656,0.008045,0.01924,0.2827
252,11.93,10.91,0.08872,0.05242,0.1601,0.05541,1.045,0.006175,0.01096,0.246
253,19.55,23.21,0.101,0.1318,0.1989,0.05884,2.836,0.01124,0.02768,0.2576
254,8.571,13.1,0.1036,0.07632,0.1678,0.07126,0.6793,0.007897,0.01592,0.2983
255,15.1,22.02,0.09056,0.07081,0.1616,0.05684,0.8339,0.004675,0.01095,0.2675
256,9.904,18.06,0.09699,0.1294,0.1669,0.08116,2.261,0.01286,0.0388,0.2614
257,12.03,17.93,0.07683,0.03892,0.1382,0.0607,0.9097,0.004729,0.01466,0.2171
258,14.86,23.21,0.1044,0.198,0.1737,0.06672,0.9622,0.008081,0.02545,0.3
259,19.18,22.49,0.08523,0.1428,0.1767,0.05529,1.073,0.005524,0.01415,0.3193
260,17.27,25.42,0.08331,0.1109,0.1467,0.05407,1.679,0.008109,0.01594,0.25
261,25.73,17.46,0.1149,0.2363,0.1956,0.06121,0.8509,0.006369,0.02335,0.369
262,15.7,20.31,0.09597,0.08799,0.1618,0.05549,1.15,0.004626,0.01547,0.3437
263,12.22,20.04,0.1096,0.1152,0.2124,0.06894,0.7959,0.006272,0.0132,0.2709
264,11.14,14.07,0.07274,0.06064,0.169,0.06083,0.8092,0.005541,0.03102,0.2576
265,9.876,19.4,0.1005,0.09697,0.1945,0.06322,1.222,0.009058,0.01609,0.2622
266,13.65,13.16,0.09646,0.08711,0.136,0.06344,0.4336,0.004133,0.01371,0.238
267,12.19,13.29,0.1066,0.09509,0.188,0.06471,0.8163,0.006773,0.02662,0.3469
268,15.08,25.74,0.1024,0.09769,0.1647,0.06464,1.506,0.01052,0.0212,0.2654
269,15.19,13.21,0.07963,0.06934,0.1721,0.05544,0.4125,0.005012,0.01647,0.2487
270,10.05,17.53,0.1007,0.07326,0.189,0.06331,2.015,0.007803,0.021,0.2894
271,11.87,21.54,0.06613,0.1064,0.1349,0.06612,1.554,0.006854,0.02354,0.2305
272,10.17,14.88,0.1134,0.08061,0.2743,0.0696,1.441,0.007514,0.04183,0.3557
273,15.06,19.83,0.1039,0.1553,0.1855,0.06284,0.9644,0.00925,0.01498,0.2834
274,12.34,26.86,0.1034,0.1353,0.1943,0.06937,1.809,0.009098,0.01878,0.3215
275,9.738,11.97,0.0925,0.04102,0.1903,0.06422,0.496,0.00604,0.02277,0.3105
276,13.16,20.54,0.07335,0.05275,0.1713,0.05888,1.473,0.007802,0.02086,0.2687
277,14.44,15.18,0.0997,0.1021,0.1724,0.06081,0.7394,0.005706,0.01454,0.2691
278,23.29,26.67,0.1141,0.2084,0.22,0.06229,1.56,0.009327,0.02175,0.3198
279,9.731,15.34,0.1072,0.1599,0.2548,0.09296,2.664,0.01097,0.03546,0.3108
280,13.46,28.21,0.07517,0.04726,0.1421,0.05763,1.15,0.004942,0.01442,0.2694
281,8.734,16.84,0.1039,0.07428,0.1985,0.07098,2.079,0.01582,0.01865,0.2445
